location,day,time,title,presenter,description,field
Main Track 1,Sunday,11:00 AM,"LaunchBreak: a Sip of Tea, a Click, and a Full Multi-stage Desktop Takeover",Gavin Zhong; Zhengyu Liu; Jianjia Yu,"As AI and agentic desktop apps rapidly adopt custom URI schemes for one-click onboarding-MCP install, plugin install, configuration import, prompt-driven actions-a browser click becomes a gateway into privileged local logic. Prior Electron research assumes the attacker is already inside the app; the browser-triggered,...",AI/ML Security
Main Track 2,Sunday,11:00 AM,Beyond the Ceremony: The 2026 Passkey Attack Surface,Matteo Giordano,"Passkeys are marketed as phishing-resistant, and the WebAuthn ceremony at their center genuinely is. The catch: almost nobody runs only the ceremony.",Identity & Access Security
Main Track 5,Sunday,11:00 AM,Gone in 60 Frames - USB Video Exploitation,Alex Plaskett; Robert Herrera,"In 2025, Amnesty International, in collaboration with Google TAG, released a write-up of an in-the-wild chain of USB Linux kernel vulnerabilities which was used to compromise mobile devices. Whilst the vulnerabilities themselves were disclosed, no details on how these vulnerabilities could be exploited were provided.",Mobile Security
Creator Stage 1,Sunday,11:30 AM,Stealing at the Speed of Light: The Anatomy of a Real Relay Attack tool,Robbie Galfrin,"Passive Keyless Entry and Start (PKES) systems allow a driver to unlock and start a vehicle without any deliberate interaction with the key, relying instead on an automated radio-frequency exchange between the key fob and the car whenever the two are in close proximity. This talk begins by explaining the operating...",Automotive Security
Creator Stage 2,Sunday,11:30 AM,"Yes, I froze an SNES for science",dwangoAC,"""dwangoAC describes why he put a SNES console in a freezer, the scientific process that led to unexpected statistics, and whether or not it helped TASBot play Super Metroid Tool-Assisted Speedruns on real consoles. This talk will cover how 1990's-era component aging affects RNG and why hotplate% speedruns don't work...",Game Hacking
Creator Stage 3,Sunday,11:30 AM,"One Firmware Flaw, 70+ Device Models: Lessons in Industrial IoT Disclosure and Mitigation",Weihan Goh; ZhengChao Wen,"In this talk, we use a real firmware vulnerability we found affecting more than 70 industrial sensor models from a single vendor to show how one finding can become a fleet-scale problem. The bug matters, but the bigger story is what happens next - a CVE goes public, patch adoption is still early, and operators are...",IoT Security
Creator Stage 6,Sunday,11:30 AM,Automated Discovery of Prompt Injection Vulnerabilities via Mutated Prompt Generation,Bogdan Stelee; Arnav Garg,"Finding one prompt injection isn't the end goal; checking how many variants still bypass your safeguarding layers is the new target. Introducing MPG, an XPIA mutation framework that generates adversarial payload variants and tests them across agentic AI systems to expose hidden vulnerability surfaces and emerging data...",AI/ML Security
Creator Stage 7,Sunday,11:30 AM,IsMyPhonePwned: Analyzing Android/iOS Phones at Scale,Desnos Anthony,"Mobile devices have become the primary targets for highly sophisticated, targeted spyware and state-sponsored surveillance, yet validating a suspected compromise remains an adversarial challenge across all sectors. Whether in a corporate enterprise, an investigative newsroom, or a human rights organization, tracking...",Mobile Security
Main Track 3,Sunday,11:30 AM,From Fuzzer Noise to a Weaponized PHP Exploit: Exploiting a PHP Use-After-Free Vulnerability,Can Oztas; Kağan Çapar,"It started as fuzzer noise: an OSS-Fuzz crash in PHP's concat_function, filed under a JIT target but with no JIT in the stack. It is a core Zend Engine use-after-free, reproducible with php -n and no extensions.",Exploit Development
Main Track 4,Sunday,11:30 AM,BLE Theft Auto: How a Dealer-Installed Anti-Theft System Exposes Over a Million Cars to Theft,Aaron Schulman; Jerry Yu; Yibo Wei,"Car dealers predominantly in the Southwestern U.S. have been pre-installing ""KARR,"" an aftermarket anti-theft alarm system, in every car they sell. They offer these systems as an upgrade when you purchase your car, giving you smartphone-based control over your car locks and immobilizer; if you decline the offer, the...",Automotive Security
Creator Stage 1,Sunday,12:00 PM,ThreatPatrol: Visualising the Modern Threat Landscape,Viral Maniar,"ThreatPatrol is a modern, open-source SaaS platform designed to operationalise cyber threat intelligence across Blue Teams, Cyber Threat Intelligence (CTI) analysts, Atomic Engineers and Purple Teams. Built natively around the MITRE ATT&CK framework and enriched with ART Atomic Red Team mappings, ThreatPatrol bridges...",Blue Team / Detection Engineering
Creator Stage 3,Sunday,12:00 PM,Pwning Agentic Browsers with PleaseFix: A New Vulnerability Class for 0-Click Takeover,Stav Cohen,"Every major AI lab now ships an agentic browser: ChatGPT Atlas, Perplexity Comet, Claude in Chrome, Gemini in Chrome, and Microsoft Copilot Actions. To make them work, vendors intentionally relax thirty years of browser security.",AI/ML Security
Creator Stage 4,Sunday,12:00 PM,Travel Security: Viewing Risks Through the Eyes of a Hacker,Tim Roberts; Brent White,"Drawing from real-world examples, covert entry, red team, and social engineering engagements, Tim Roberts and Brent White walk through how everyday travel habits can expose individuals and organizations to unnecessary risk. From airports and hotels to conferences, rideshares, restaurants, and more...we'll look at how...",Physical Security
Creator Stage 5,Sunday,12:00 PM,Recon on Trial: The OSINT Operator's Legal Playbook,David Cass,"Walks through the legal gray zones OSINT operators cross routinely, scraping sites, enumerating subdomains, and grepping leaked secrets, and which of those actions carry real statutory risk.",Privacy & Policy
Creator Stage 6,Sunday,12:00 PM,Sick Signals: Adversarial Prompt Injection via IoT Sensor Telemetry,Vinitha Mathiyazhagan; Tamil Mathi T.,IoT devices that increasingly feed LLM-powered automated decision systems. Their telemetry streams are implicitly trusted as ground truth.,AI/ML Security
Main Track 1,Sunday,12:00 PM,"Your WAF Blocked Us, That Was The Exploit - Remote Agent Takeover via Cloudflare, Sentry and Claude Zero-Day for data exfil",Barak Sternberg; Nevo Poran; Ron Bobrov,What happens when getting blocked by your WAF is exactly how the attacker gets in? We built two new remote exploit chains that hijack AI agents through Cloudflare and Sentry - two of the most trusted tools on the internet.,AI/ML Security
Main Track 2,Sunday,12:00 PM,MSIX'd Up: Weaponizing the Modern Windows App Packaging Ecosystem,"Nick ""zyn3rgy"" Powers","What happens when the ecosystem Microsoft built for isolation and integrity of modern Windows applications becomes a foundation for novel attacker tradecraft? For over 13 years, an ecosystem that now includes MSIX, UWP, AppContainers, package identity, and the Windows Runtime has shipped by default on modern Windows.",Red Team / Adversary Emulation
Main Track 5,Sunday,12:00 PM,"1.1 Million Cameras, One Wildcard: Architectural Surveillance in an IoT Cloud",Sammy Azdoufal,"In March 2026, while reverse-engineering the cloud platform behind a popular line of consumer baby monitors and home security cameras, I discovered that one MQTT SUBSCRIBE wildcard returned the live message stream from every device on the platform. 1.1 million cameras. Motion alerts with image URLs.",IoT Security
Creator Stage 1,Sunday,12:30 PM,"Two NICs, Zero Trust: Pulling Apart a PAC Buried in Critical Infrastructure",Adam Bromiley; Sam Thom,"Imagine you get called up by a large CNI operator - ""We have these devices, they're all over our outstations and they sit between our most critical OT trust zones"", would you want to take a look? We did what any curious gremlins would do: we bought the hardware, built a bench, and started pulling at every thread.",ICS/OT Security
Creator Stage 2,Sunday,12:30 PM,SH4ZAM: Accelerated Vector Math on the Sega Dreamcast,Falco Girgis,"SH4ZAM is a hardware accelerated, fast math and linear algebra library targeting the Sega Dreamcast. It began as a collection of hand-optimized SH4 assembly routines I wrote to boost the performance of our ""impossible"" ports of Grand Theft Auto 3 and Vice City to the DC.",Game Hacking
Creator Stage 3,Sunday,12:30 PM,"Leveraging Large Language Models for Policy, Regulatory, and Compliance in IoMT: Opportunities, Risks, and Safeguards",Dr. Deepti Gupta; Sai Sitharaman,"The rapid adoption of Large Language Models (LLMs) is transforming how organizations interpret and enforce policy, regulatory, and compliance requirements. In the context of the Internet of Medical Things (IoMT), where sensitive health data flows across distributed and resource-constrained devices, LLMs offer...",AI/ML Security
Creator Stage 5,Sunday,12:30 PM,Building Hackbots,"Jason ""jhaddix"" Haddix","Building AI-Powered Penetration Testing Bots In this talk, we'll walk through the core design philosophy behind AI hackbots and the architecture that makes them work: single-purpose vs. multi-stage bots, context engineering for targeted prompting, and tool integration with output parsing workflows. Then we'll get...",AI/ML Security
Creator Stage 7,Sunday,12:30 PM,Source of Truth: A Field Guide for Deep Technical Research,"Carley ""51nk0r5w1m"" Fant","Security research usually starts with one reasonable question and somehow turns into a sea of browser tabs, lost bookmarks, half-read standards, conference talks, vendor docs, AI summaries, and simplified architecture posts with suspiciously perfect rectangles. Finding information is easy.",OSINT
Main Track 3,Sunday,12:30 PM,CUDA've done better - Hacking Nvidia GPUs for container-escape and privilege escalation,"Daniel ""0xDACA"" Cohen Hillel; Noam Trobishi",CUDA've done better - Hacking Nvidia GPUs for container-escape and privilege escalation. We found and exploited a UAF in the NVIDIA Linux kernel module that allows us to escape NVIDIA containers and gain root access on the host.,Cloud Security
Main Track 4,Sunday,12:30 PM,Chaining Microsoft Binaries to get Privileged Primitives in the Windows kernel,Angelo Frasca Caccia,"System Guard Runtime Monitor was meant to be an OS integrity anchor on Windows. A kernel driver, gated behind Protected Process Light (PPL), and a runtime attestation engine running in a secure enclave.",Exploit Development
Main Track 5,Sunday,1:00 PM,Chaining Logical Bugs for Reliable Windows LPE,"Bocheng ""Crispr"" Xiang; HeeChan ""heegong123"" Kim","Modern Windows exploit mitigations have made memory corruption significantly harder, but reliable privilege escalation still emerges from a quieter class of bugs: logical flaws in privileged components. This talk shows how low impact Windows bugs become practical SYSTEM exploits when treated as reusable primitives...",Exploit Development
Main Track 3,Sunday,1:30 PM,Taking on the Dark Fleet... in Cyberspace!,Kenneth Miltenberger; Shane Cancilla,"In 2026, the US led what would become an international crackdown on Dark Fleet (sometimes called Shadow/Ghost Fleet): vessels that illegally transport sanctioned oil or other cargo. Little known to the public, Coast Guard Cyber Command was deploying its Cyber Protection Teams (CPTs) onboard these vessels to assure the...",Maritime Security
Main Track 4,Sunday,1:30 PM,Witchcraft Solver: Automated 0day Discovery in Stripped Binaries,"Jonathan ""endrazine"" Brossard","Introduces Witchcraft Solver, a fully automated pipeline for discovering 0-day vulnerabilities in stripped binaries with no source, symbols, or harness available.",Exploit Development
"Main Tracks 1,4",Sunday,1:30 PM,Contest Closing Ceremonies & Awards,DEF CON,Closing ceremony recognizing winners across DEF CON's many contests and competitions.,Community/Keynote
Main Track 3,Sunday,2:00 PM,Talkers Without Borders: Worldwide Free Speech without an Internet Connection,"T. Gwyddon ""data"" Owen; amp",What if a globally accessible maritime communications network was co-opted for other than intended use? Our research tool demonstrates how defenders and users of AIS (the Automatic Identification System) might create and detect a covert communications channel that operates without a conventional server or internet...,Privacy & Policy
Main Track 5,Sunday,2:00 PM,Hacking Jetskis - from Sea-Don't to Sea-Doo,stacksmashing,"One day, I woke up to a simple message from a friend: ""What do you know about CAN bus?"" Expecting him to have car trouble, I called him and asked, ""What do you need?"" Turns out the car trouble was actually jetski trouble: he bought a Sea-Doo jetski for very cheap - but it came without a key. A quick research on his...",Automotive Security
"Main Tracks 1,4",Sunday,3:00 PM,DEF CON Closing Ceremonies & Awards,"Jeff ""The Dark Tangent"" Moss",Jeff Moss closes out DEF CON 34 with final announcements and farewells.,Community/Keynote
